118,88,209,122,1.000000
120,89,211,123,0.824565
125,90,216,124,0.854648
128,90,219,124,0.889822
131,90,222,124,0.806995
137,91,229,125,0.879449
140,91,232,125,0.826161
142,91,234,125,0.772015
145,91,237,125,0.714094
147,91,239,125,0.685840
150,92,242,126,0.720304
153,93,245,127,0.780418
154,93,246,127,0.667724
155,94,247,128,0.662887
155,95,247,129,0.696048
153,96,245,130,0.682591
152,97,243,131,0.684649
150,98,241,132,0.765123
148,99,239,133,0.837034
146,99,237,133,0.788164
144,99,235,133,0.846282
139,101,230,135,0.750694
137,102,228,136,0.779117
136,103,227,137,0.830994
135,104,226,138,0.846780
135,105,226,139,0.825059
135,105,226,139,0.809321
135,105,226,139,0.789541
136,105,227,139,0.736669
139,105,230,139,0.746561
141,105,232,139,0.748312
144,105,235,139,0.757462
145,105,236,139,0.753858
149,106,239,140,0.819890
150,106,240,140,0.806076
151,106,241,140,0.760787
152,106,242,140,0.720966
152,106,242,140,0.629290
152,106,242,140,0.636853
153,106,242,140,0.586480
153,106,242,140,0.557336
153,106,242,140,0.717249
153,106,242,140,0.725078
153,106,242,140,0.776986
153,106,243,140,0.789975
153,106,243,140,0.725937
153,106,243,140,0.703395
152,106,242,140,0.650609
153,107,243,141,0.619795
154,107,244,141,0.668320
154,107,244,141,0.620538
154,107,244,141,0.580164
154,107,244,141,0.610169
155,107,244,141,0.555468
155,107,244,141,0.539755
156,107,246,141,0.503929
156,108,246,142,0.490274
157,109,247,143,0.593037
158,109,248,143,0.652940
159,109,249,143,0.637151
159,109,249,143,0.666510
159,109,249,143,0.522035
160,109,250,143,0.552004
161,109,251,143,0.573579
161,109,251,143,0.552123
161,109,251,143,0.493814
162,109,252,143,0.471091
162,109,254,144,0.489083
161,108,256,144,0.496720
160,109,255,144,0.503778
158,110,250,144,0.622332
156,110,248,144,0.603408
154,110,247,145,0.567141
149,110,241,145,0.597799
144,109,236,144,0.599031
143,109,235,144,0.606390
140,108,232,143,0.608177
137,106,230,141,0.564694
137,105,230,140,0.554034
138,102,230,137,0.529780
139,100,231,135,0.488887
140,100,232,135,0.673992
141,98,233,133,0.805018
142,98,234,133,0.829120
144,96,236,131,0.859136
146,94,238,129,0.857574
147,93,239,128,0.852791
148,91,240,126,0.883830
150,89,242,124,0.864480
151,87,244,122,0.806168
153,86,246,121,0.800602
155,85,247,120,0.748315
156,84,248,119,0.745509
157,84,248,119,0.751171
157,83,248,118,0.858149
159,82,250,117,0.787067
160,81,250,116,0.864634
160,81,250,116,0.854209
162,80,252,115,0.868407
163,80,253,115,0.856822
163,80,253,115,0.843304
163,80,253,115,0.816920
164,79,254,114,0.804840
164,79,254,114,0.857967
165,78,256,113,0.824000
166,78,256,113,0.869319
166,78,256,113,0.846490
166,78,256,113,0.846423
166,78,256,113,0.822383
166,78,256,113,0.802496
166,78,256,113,0.787296
167,78,257,113,0.811630
169,78,259,113,0.797367
171,78,262,113,0.725242
175,78,265,113,0.831798
178,78,268,113,0.848145
183,78,273,113,0.808686
186,79,276,114,0.836643
189,80,279,115,0.836505
193,81,284,116,0.793524
195,83,285,118,0.783947
197,84,287,119,0.807236
198,85,288,120,0.784233
201,88,291,123,0.721923
200,89,290,124,0.739759
200,90,290,125,0.663724
200,94,281,124,0.508296
200,95,282,125,0.557192
200,96,282,126,0.565584
200,96,282,126,0.560621
200,96,283,126,0.552158
199,96,282,126,0.558450
195,94,279,124,0.552091
194,93,280,124,0.533885
192,92,280,124,0.559232
191,91,279,123,0.547957
189,89,278,121,0.548946
188,88,276,120,0.556850
186,84,274,116,0.552000
185,82,272,114,0.574070
185,81,272,113,0.554964
184,80,271,112,0.609264
183,80,270,112,0.604242
183,80,271,112,0.592189
183,80,271,112,0.587470
182,81,270,113,0.684944
180,83,268,115,0.633502
179,84,267,116,0.616010
179,85,267,117,0.632644
177,87,265,119,0.608379
176,88,265,121,0.562475
176,89,265,122,0.593183
175,89,265,122,0.597279
175,90,265,123,0.623768
174,90,264,123,0.622334
173,91,262,124,0.588500
172,92,262,125,0.594837
173,92,263,125,0.589945
173,92,263,125,0.599389
172,93,262,126,0.614944
172,93,262,126,0.570708
172,94,262,127,0.594312
173,94,263,127,0.562909
173,94,263,127,0.541176
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
NaN,NaN,NaN,NaN,NaN
173,95,264,129,0.537074
175,95,266,129,0.590940
176,95,267,129,0.592557
177,95,268,129,0.590155
178,95,269,129,0.590692
179,95,269,129,0.586351
179,94,269,128,0.585493
181,94,271,128,0.579213
183,94,273,128,0.599124
184,94,274,128,0.619701
185,95,275,129,0.602449
186,95,276,129,0.616522
185,95,275,129,0.613609
186,95,276,129,0.574356
187,95,277,129,0.614331
188,96,278,130,0.603583
189,96,279,130,0.585264
190,97,280,131,0.611001
191,98,282,132,0.589758
192,98,283,132,0.591192
192,98,283,132,0.601824
194,97,285,131,0.620407
195,97,285,131,0.618121
195,96,285,130,0.671610
195,94,285,128,0.619934
196,93,286,127,0.589358
196,92,286,126,0.589203
197,91,287,125,0.587893
198,90,288,124,0.609684
198,90,288,124,0.582703
198,89,288,123,0.609858
197,89,287,123,0.572965
197,89,287,123,0.574395
196,90,286,124,0.542350
